REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 tmp1.wav	 tmp2.wav	 SQValue=3.426	 3.426	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.520	 3.520	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.563	 3.563	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.585	 3.585	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.583	 3.583	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.587	 3.587	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.586	 3.586	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.587	 3.587	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.630	 1.630	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.318	 2.318	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.858	 2.858	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.414	 3.414	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.713	 3.713	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.817	 3.817	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.840	 3.840	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.834	 3.834	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.842	 3.842	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.843	 3.843	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.843	 3.843	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.376	 1.376	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.532	 1.532	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.821	 1.821	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.895	 1.895	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=1.930	 1.930	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.181	 2.181	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.362	 2.362	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=2.781	 2.781	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=3.596	 3.596	 0.000	 0	 16000	0.0000
 tmp1.wav	 tmp2.wav	 SQValue=4.005	 4.005	 0.000	 0	 16000	0.0000
