DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 tmp2.wav	 3.964	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.031	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.404	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.615	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.736	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.821	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.989	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.245	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.621	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.613	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.934	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.268	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.659	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.299	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.934	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.426	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.520	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.563	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.585	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.583	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.587	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.586	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.587	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.630	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.318	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.858	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.414	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.713	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.817	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.840	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.834	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.842	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.843	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.843	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.376	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.532	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.821	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.895	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.930	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.181	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.362	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.781	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.596	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.005	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.378	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.023	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.344	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.080	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.322	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.409	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.436	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.423	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.424	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.423	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.422	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.423	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.012	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.387	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.135	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.412	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.585	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.645	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.639	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.632	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.637	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.636	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.635	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.332	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.585	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.818	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.895	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.970	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.139	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.388	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.813	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.756	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.100	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.337	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.951	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.416	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.070	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.224	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.411	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.417	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.435	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.436	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.436	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.436	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.438	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.966	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.486	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.180	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.419	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.790	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.844	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.898	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.912	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.909	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.905	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.910	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.621	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.031	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.177	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.581	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.847	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.154	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.286	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.800	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.325	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.408	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.424	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.791	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.201	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.493	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.098	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.433	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.888	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.004	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.038	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.031	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.025	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.023	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.811	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.238	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.504	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.068	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.504	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.090	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.187	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.287	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.280	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.281	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.282	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.735	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.052	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.304	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.661	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.882	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.233	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.465	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.744	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.135	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.183	 0.000	 0	 16000	0.0000
 tmp2.wav	 4.329	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.962	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.286	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.649	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.075	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.293	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.576	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.681	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.679	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.701	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.704	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.696	 0.000	 0	 16000	0.0000
 tmp2.wav	 1.934	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.283	 0.000	 0	 16000	0.0000
 tmp2.wav	 2.649	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.187	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.427	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.696	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.865	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.882	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.887	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.888	 0.000	 0	 16000	0.0000
 tmp2.wav	 3.889	 0.000	 0	 16000	0.0000
